# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.totalSafepointCount,1769817260952000000,1769817300337000000,26
JVM.newThreadsCount,1769817260952000000,1769817300337000000,10
JVM.GC.collections,1769817260952000000,1769817300337000000,1
JVM.totalCpuTimeMs,1769817260952000000,1769817300337000000,2740
JVM.totalTimeAtSafepointsMs,1769817260952000000,1769817300337000000,11
JVM.GC.collectionTimesMs,1769817260952000000,1769817300337000000,10
JVM.threadCount,1769817260952000000,1769817300337000000,96
JVM.maxThreadCount,1769817260952000000,1769817300337000000,138
writeAction.wait.ms,1769817260952000000,1769817300337000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1769817260952000000,1769817300337000000,1237
DiskQueryRelay.tasksExecuted,1769817260952000000,1769817300337000000,56
writeAction.max.wait.ms,1769817260952000000,1769817300337000000,2
writeAction.count,1769817260952000000,1769817300337000000,3
DiskQueryRelay.taskExecutionTotalTimeUs,1769817260952000000,1769817300337000000,957
writeAction.median.wait.ms,1769817260952000000,1769817300337000000,0
DiskQueryRelay.tasksRequested,1769817260952000000,1769817300337000000,56
AWTEventQueue.dispatchTimeTotalNS,1769817260952000000,1769817300337000000,223600089
NonBlockingReadAction.finalizedExecutionTimeUs,1769817260952000000,1769817300337000000,697
NonBlockingReadAction.finalizedExecutionsCount,1769817260952000000,1769817300337000000,3
NonBlockingReadAction.failedExecutionTimeUs,1769817260952000000,1769817300337000000,0
NonBlockingReadAction.failedExecutionsCount,1769817260952000000,1769817300337000000,0
FilePageCacheLockFree.totalPagesRequested,1769817260952000000,1769817300337000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1769817260952000000,1769817300337000000,0
FilePageCache.pageFastCacheHits,1769817260952000000,1769817300337000000,158
FilePageCache.disposedBuffers,1769817260952000000,1769817300337000000,152
FilePageCacheLockFree.totalBytesWritten,1769817260952000000,1769817300337000000,0
FilePageCache.pageLoads,1769817260952000000,1769817300337000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1769817260952000000,1769817300337000000,0
